Unnamed: 0,curvy_puma,natural_crow,dark_sawfly,micro_axolotl,prompt_muskrat,lively_bee,happy_mayfly,flying_zebu,gainful_mosquito,russet_wombat,mahogany_sawfly,glossy_piculet,cobalt_mouflon,persimmon_teal,happy_spider,striped_duck,wonderful_grouse,clay_poodle,shaggy_macaw,finicky_spoonbill
curvy_puma,1.0,0.661,0.554,0.632,0.333,0.612,0.503,0.588,0.534,0.628,0.262,0.801,0.5660000000000001,0.549,0.535,0.246,0.10300000000000001,0.641,0.609,0.299
natural_crow,0.661,1.0,0.5650000000000001,0.587,0.301,0.521,0.5740000000000001,0.672,0.523,0.5740000000000001,0.243,0.626,0.54,0.524,0.527,0.24,0.10200000000000001,0.554,0.5640000000000001,0.314
dark_sawfly,0.554,0.5650000000000001,1.0,0.765,0.434,0.651,0.589,0.602,0.738,0.5700000000000001,0.309,0.521,0.777,0.784,0.743,0.388,0.197,0.721,0.481,0.369
micro_axolotl,0.632,0.587,0.765,1.0,0.465,0.6960000000000001,0.52,0.553,0.748,0.498,0.312,0.595,0.742,0.709,0.772,0.369,0.157,0.638,0.47700000000000004,0.391
prompt_muskrat,0.333,0.301,0.434,0.465,1.0,0.47300000000000003,0.43,0.313,0.46,0.328,0.377,0.31,0.55,0.442,0.399,0.406,0.339,0.488,0.33,0.674
lively_bee,0.612,0.521,0.651,0.6960000000000001,0.47300000000000003,1.0,0.7000000000000001,0.5740000000000001,0.792,0.592,0.269,0.5640000000000001,0.779,0.675,0.714,0.359,0.221,0.8230000000000001,0.537,0.4
happy_mayfly,0.503,0.5740000000000001,0.589,0.52,0.43,0.7000000000000001,1.0,0.422,0.633,0.482,0.254,0.43,0.666,0.552,0.556,0.33,0.209,0.62,0.47600000000000003,0.429
flying_zebu,0.588,0.672,0.602,0.553,0.313,0.5740000000000001,0.422,1.0,0.5760000000000001,0.658,0.252,0.5740000000000001,0.5650000000000001,0.5710000000000001,0.554,0.293,0.15,0.583,0.527,0.281
gainful_mosquito,0.534,0.523,0.738,0.748,0.46,0.792,0.633,0.5760000000000001,1.0,0.598,0.368,0.497,0.891,0.794,0.88,0.457,0.221,0.734,0.494,0.452
russet_wombat,0.628,0.5740000000000001,0.5700000000000001,0.498,0.328,0.592,0.482,0.658,0.598,1.0,0.23600000000000002,0.653,0.58,0.546,0.547,0.30000000000000004,0.145,0.609,0.708,0.29
mahogany_sawfly,0.262,0.243,0.309,0.312,0.377,0.269,0.254,0.252,0.368,0.23600000000000002,1.0,0.28200000000000003,0.327,0.31,0.328,0.47600000000000003,0.194,0.295,0.247,0.527
glossy_piculet,0.801,0.626,0.521,0.595,0.31,0.5640000000000001,0.43,0.5740000000000001,0.497,0.653,0.28200000000000003,1.0,0.556,0.529,0.535,0.232,0.095,0.593,0.59,0.297
cobalt_mouflon,0.5660000000000001,0.54,0.777,0.742,0.55,0.779,0.666,0.5650000000000001,0.891,0.58,0.327,0.556,1.0,0.833,0.8180000000000001,0.41200000000000003,0.211,0.71,0.515,0.542
persimmon_teal,0.549,0.524,0.784,0.709,0.442,0.675,0.552,0.5710000000000001,0.794,0.546,0.31,0.529,0.833,1.0,0.858,0.367,0.166,0.683,0.466,0.435
happy_spider,0.535,0.527,0.743,0.772,0.399,0.714,0.556,0.554,0.88,0.547,0.328,0.535,0.8180000000000001,0.858,1.0,0.396,0.157,0.678,0.452,0.391
striped_duck,0.246,0.24,0.388,0.369,0.406,0.359,0.33,0.293,0.457,0.30000000000000004,0.47600000000000003,0.232,0.41200000000000003,0.367,0.396,1.0,0.483,0.41600000000000004,0.24,0.482
wonderful_grouse,0.10300000000000001,0.10200000000000001,0.197,0.157,0.339,0.221,0.209,0.15,0.221,0.145,0.194,0.095,0.211,0.166,0.157,0.483,1.0,0.201,0.122,0.39
clay_poodle,0.641,0.554,0.721,0.638,0.488,0.8230000000000001,0.62,0.583,0.734,0.609,0.295,0.593,0.71,0.683,0.678,0.41600000000000004,0.201,1.0,0.535,0.341
shaggy_macaw,0.609,0.5640000000000001,0.481,0.47700000000000004,0.33,0.537,0.47600000000000003,0.527,0.494,0.708,0.247,0.59,0.515,0.466,0.452,0.24,0.122,0.535,1.0,0.299
finicky_spoonbill,0.299,0.314,0.369,0.391,0.674,0.4,0.429,0.281,0.452,0.29,0.527,0.297,0.542,0.435,0.391,0.482,0.39,0.341,0.299,1.0
