Unnamed: 0,energetic_turtle,tangerine_polecat,gleaming_fennec,uptight_seriema,red_yak,spiked_tamarin,curious_grouse,tomato_mosquito,amethyst_carp,powerful_ocelot,feathered_bullmastiff,amber_cricket,witty_viper,neat_parakeet,fancy_boar,lovely_okapi,amber_tarsier,natural_stoat,jade_badger,brass_oarfish
energetic_turtle,1.0,0.41200000000000003,0.655,0.522,0.636,0.36,0.712,0.5690000000000001,0.509,0.676,0.5760000000000001,0.555,0.497,0.766,0.616,0.28400000000000003,0.5660000000000001,0.296,0.439,0.536
tangerine_polecat,0.41200000000000003,1.0,0.465,0.659,0.482,0.324,0.55,0.49,0.596,0.464,0.503,0.631,0.726,0.393,0.613,0.315,0.483,0.325,0.526,0.706
gleaming_fennec,0.655,0.465,1.0,0.66,0.628,0.379,0.652,0.631,0.589,0.6930000000000001,0.59,0.638,0.598,0.603,0.661,0.382,0.636,0.321,0.515,0.601
uptight_seriema,0.522,0.659,0.66,1.0,0.733,0.538,0.524,0.6940000000000001,0.805,0.51,0.681,0.879,0.839,0.47800000000000004,0.704,0.543,0.763,0.397,0.716,0.743
red_yak,0.636,0.482,0.628,0.733,1.0,0.483,0.594,0.714,0.593,0.536,0.681,0.685,0.614,0.536,0.719,0.4,0.736,0.375,0.5670000000000001,0.609
spiked_tamarin,0.36,0.324,0.379,0.538,0.483,1.0,0.35000000000000003,0.502,0.507,0.362,0.444,0.554,0.466,0.315,0.383,0.71,0.47000000000000003,0.77,0.599,0.423
curious_grouse,0.712,0.55,0.652,0.524,0.594,0.35000000000000003,1.0,0.537,0.488,0.625,0.604,0.508,0.518,0.652,0.607,0.267,0.554,0.259,0.397,0.608
tomato_mosquito,0.5690000000000001,0.49,0.631,0.6940000000000001,0.714,0.502,0.537,1.0,0.645,0.586,0.719,0.761,0.659,0.585,0.601,0.41500000000000004,0.6970000000000001,0.41200000000000003,0.626,0.675
amethyst_carp,0.509,0.596,0.589,0.805,0.593,0.507,0.488,0.645,1.0,0.428,0.618,0.8,0.845,0.443,0.5640000000000001,0.538,0.659,0.435,0.603,0.685
powerful_ocelot,0.676,0.464,0.6930000000000001,0.51,0.536,0.362,0.625,0.586,0.428,1.0,0.516,0.52,0.447,0.715,0.609,0.261,0.47100000000000003,0.28500000000000003,0.404,0.532
feathered_bullmastiff,0.5760000000000001,0.503,0.59,0.681,0.681,0.444,0.604,0.719,0.618,0.516,1.0,0.729,0.6990000000000001,0.538,0.633,0.357,0.774,0.35100000000000003,0.584,0.637
amber_cricket,0.555,0.631,0.638,0.879,0.685,0.554,0.508,0.761,0.8,0.52,0.729,1.0,0.834,0.47400000000000003,0.631,0.467,0.751,0.49,0.721,0.788
witty_viper,0.497,0.726,0.598,0.839,0.614,0.466,0.518,0.659,0.845,0.447,0.6990000000000001,0.834,1.0,0.434,0.588,0.496,0.687,0.425,0.67,0.7020000000000001
neat_parakeet,0.766,0.393,0.603,0.47800000000000004,0.536,0.315,0.652,0.585,0.443,0.715,0.538,0.47400000000000003,0.434,1.0,0.556,0.271,0.543,0.247,0.40800000000000003,0.487
fancy_boar,0.616,0.613,0.661,0.704,0.719,0.383,0.607,0.601,0.5640000000000001,0.609,0.633,0.631,0.588,0.556,1.0,0.382,0.628,0.321,0.5,0.6900000000000001
lovely_okapi,0.28400000000000003,0.315,0.382,0.543,0.4,0.71,0.267,0.41500000000000004,0.538,0.261,0.357,0.467,0.496,0.271,0.382,1.0,0.464,0.726,0.531,0.37
amber_tarsier,0.5660000000000001,0.483,0.636,0.763,0.736,0.47000000000000003,0.554,0.6970000000000001,0.659,0.47100000000000003,0.774,0.751,0.687,0.543,0.628,0.464,1.0,0.374,0.632,0.718
natural_stoat,0.296,0.325,0.321,0.397,0.375,0.77,0.259,0.41200000000000003,0.435,0.28500000000000003,0.35100000000000003,0.49,0.425,0.247,0.321,0.726,0.374,1.0,0.5700000000000001,0.435
jade_badger,0.439,0.526,0.515,0.716,0.5670000000000001,0.599,0.397,0.626,0.603,0.404,0.584,0.721,0.67,0.40800000000000003,0.5,0.531,0.632,0.5700000000000001,1.0,0.633
brass_oarfish,0.536,0.706,0.601,0.743,0.609,0.423,0.608,0.675,0.685,0.532,0.637,0.788,0.7020000000000001,0.487,0.6900000000000001,0.37,0.718,0.435,0.633,1.0
