Unnamed: 0,positive_mantis,feathered_marmot,cordial_lori,kind_dingo,ethereal_gibbon,omniscient_cormorant,hilarious_catfish,caped_binturong,cerulean_eagle,sapphire_crab,fair_markhor,super_jackdaw,proficient_rabbit,thankful_alpaca,ancient_lionfish,gentle_crow,burrowing_coua,coral_salmon,placid_boa,mauve_caracal
positive_mantis,1.0,0.554,0.406,0.5660000000000001,0.42,0.543,0.624,0.496,0.6000000000000001,0.546,0.746,0.53,0.598,0.5650000000000001,0.527,0.583,0.529,0.7020000000000001,0.426,0.6000000000000001
feathered_marmot,0.554,1.0,0.621,0.596,0.618,0.397,0.588,0.586,0.394,0.716,0.617,0.749,0.887,0.634,0.799,0.5710000000000001,0.405,0.614,0.5640000000000001,0.603
cordial_lori,0.406,0.621,1.0,0.518,0.678,0.264,0.503,0.594,0.406,0.53,0.501,0.449,0.636,0.498,0.512,0.483,0.306,0.531,0.58,0.467
kind_dingo,0.5660000000000001,0.596,0.518,1.0,0.5650000000000001,0.334,0.657,0.546,0.431,0.5690000000000001,0.644,0.614,0.632,0.549,0.638,0.639,0.364,0.63,0.661,0.41000000000000003
ethereal_gibbon,0.42,0.618,0.678,0.5650000000000001,1.0,0.28600000000000003,0.636,0.6990000000000001,0.47100000000000003,0.513,0.538,0.4,0.5730000000000001,0.583,0.51,0.611,0.336,0.622,0.553,0.434
omniscient_cormorant,0.543,0.397,0.264,0.334,0.28600000000000003,1.0,0.34700000000000003,0.36,0.321,0.451,0.432,0.361,0.356,0.40800000000000003,0.368,0.369,0.837,0.404,0.317,0.47100000000000003
hilarious_catfish,0.624,0.588,0.503,0.657,0.636,0.34700000000000003,1.0,0.715,0.406,0.675,0.759,0.558,0.598,0.8150000000000001,0.608,0.893,0.386,0.901,0.5690000000000001,0.432
caped_binturong,0.496,0.586,0.594,0.546,0.6990000000000001,0.36,0.715,1.0,0.464,0.581,0.669,0.506,0.536,0.739,0.592,0.755,0.36,0.72,0.632,0.389
cerulean_eagle,0.6000000000000001,0.394,0.406,0.431,0.47100000000000003,0.321,0.406,0.464,1.0,0.43,0.47300000000000003,0.324,0.428,0.419,0.343,0.35000000000000003,0.423,0.447,0.426,0.609
sapphire_crab,0.546,0.716,0.53,0.5690000000000001,0.513,0.451,0.675,0.581,0.43,1.0,0.7000000000000001,0.711,0.632,0.725,0.713,0.623,0.516,0.73,0.577,0.593
fair_markhor,0.746,0.617,0.501,0.644,0.538,0.432,0.759,0.669,0.47300000000000003,0.7000000000000001,1.0,0.592,0.65,0.789,0.653,0.719,0.466,0.847,0.528,0.536
super_jackdaw,0.53,0.749,0.449,0.614,0.4,0.361,0.558,0.506,0.324,0.711,0.592,1.0,0.6900000000000001,0.5650000000000001,0.8230000000000001,0.577,0.398,0.5680000000000001,0.515,0.419
proficient_rabbit,0.598,0.887,0.636,0.632,0.5730000000000001,0.356,0.598,0.536,0.428,0.632,0.65,0.6900000000000001,1.0,0.554,0.712,0.5710000000000001,0.402,0.635,0.5670000000000001,0.613
thankful_alpaca,0.5650000000000001,0.634,0.498,0.549,0.583,0.40800000000000003,0.8150000000000001,0.739,0.419,0.725,0.789,0.5650000000000001,0.554,1.0,0.621,0.794,0.449,0.851,0.523,0.465
ancient_lionfish,0.527,0.799,0.512,0.638,0.51,0.368,0.608,0.592,0.343,0.713,0.653,0.8230000000000001,0.712,0.621,1.0,0.65,0.402,0.642,0.594,0.462
gentle_crow,0.583,0.5710000000000001,0.483,0.639,0.611,0.369,0.893,0.755,0.35000000000000003,0.623,0.719,0.577,0.5710000000000001,0.794,0.65,1.0,0.34400000000000003,0.854,0.549,0.365
burrowing_coua,0.529,0.405,0.306,0.364,0.336,0.837,0.386,0.36,0.423,0.516,0.466,0.398,0.402,0.449,0.402,0.34400000000000003,1.0,0.436,0.31,0.557
coral_salmon,0.7020000000000001,0.614,0.531,0.63,0.622,0.404,0.901,0.72,0.447,0.73,0.847,0.5680000000000001,0.635,0.851,0.642,0.854,0.436,1.0,0.514,0.464
placid_boa,0.426,0.5640000000000001,0.58,0.661,0.553,0.317,0.5690000000000001,0.632,0.426,0.577,0.528,0.515,0.5670000000000001,0.523,0.594,0.549,0.31,0.514,1.0,0.47900000000000004
mauve_caracal,0.6000000000000001,0.603,0.467,0.41000000000000003,0.434,0.47100000000000003,0.432,0.389,0.609,0.593,0.536,0.419,0.613,0.465,0.462,0.365,0.557,0.464,0.47900000000000004,1.0
