Unnamed: 0,orchid_earwig,super_viper,peridot_parrot,auburn_cockle,dangerous_serval,pink_chicken,benign_serval,lemon_capybara,black_tanuki,mottled_kiwi,towering_crocodile,nocturnal_mouse,poetic_binturong,shiny_guppy,sticky_mustang,graceful_hornet,true_hare,greedy_swine,nickel_uakari,pink_hedgehog
orchid_earwig,1.0,0.487,0.463,0.423,0.495,0.312,0.371,0.40900000000000003,0.47500000000000003,0.593,0.403,0.325,0.449,0.338,0.513,0.453,0.463,0.399,0.51,0.365
super_viper,0.487,1.0,0.597,0.603,0.656,0.421,0.603,0.46,0.47200000000000003,0.515,0.725,0.41000000000000003,0.541,0.38,0.5740000000000001,0.656,0.769,0.648,0.671,0.542
peridot_parrot,0.463,0.597,1.0,0.588,0.6950000000000001,0.56,0.648,0.577,0.357,0.446,0.617,0.633,0.838,0.585,0.762,0.675,0.606,0.65,0.709,0.643
auburn_cockle,0.423,0.603,0.588,1.0,0.619,0.587,0.853,0.733,0.326,0.38,0.535,0.626,0.586,0.58,0.518,0.757,0.784,0.895,0.544,0.732
dangerous_serval,0.495,0.656,0.6950000000000001,0.619,1.0,0.495,0.638,0.541,0.41400000000000003,0.517,0.64,0.546,0.678,0.504,0.712,0.742,0.682,0.6940000000000001,0.724,0.585
pink_chicken,0.312,0.421,0.56,0.587,0.495,1.0,0.5720000000000001,0.48,0.219,0.26,0.397,0.843,0.547,0.807,0.513,0.535,0.548,0.621,0.438,0.632
benign_serval,0.371,0.603,0.648,0.853,0.638,0.5720000000000001,1.0,0.6980000000000001,0.331,0.388,0.543,0.559,0.605,0.537,0.526,0.707,0.776,0.784,0.543,0.708
lemon_capybara,0.40900000000000003,0.46,0.577,0.733,0.541,0.48,0.6980000000000001,1.0,0.315,0.398,0.462,0.524,0.463,0.486,0.443,0.704,0.643,0.741,0.419,0.644
black_tanuki,0.47500000000000003,0.47200000000000003,0.357,0.326,0.41400000000000003,0.219,0.331,0.315,1.0,0.756,0.391,0.254,0.34700000000000003,0.23500000000000001,0.396,0.392,0.405,0.337,0.452,0.258
mottled_kiwi,0.593,0.515,0.446,0.38,0.517,0.26,0.388,0.398,0.756,1.0,0.425,0.306,0.433,0.28300000000000003,0.451,0.462,0.484,0.417,0.512,0.331
towering_crocodile,0.403,0.725,0.617,0.535,0.64,0.397,0.543,0.462,0.391,0.425,1.0,0.432,0.5720000000000001,0.399,0.61,0.656,0.682,0.583,0.6960000000000001,0.548
nocturnal_mouse,0.325,0.41000000000000003,0.633,0.626,0.546,0.843,0.559,0.524,0.254,0.306,0.432,1.0,0.599,0.925,0.5650000000000001,0.594,0.531,0.668,0.494,0.652
poetic_binturong,0.449,0.541,0.838,0.586,0.678,0.547,0.605,0.463,0.34700000000000003,0.433,0.5720000000000001,0.599,1.0,0.553,0.74,0.659,0.593,0.659,0.6890000000000001,0.651
shiny_guppy,0.338,0.38,0.585,0.58,0.504,0.807,0.537,0.486,0.23500000000000001,0.28300000000000003,0.399,0.925,0.553,1.0,0.522,0.55,0.492,0.619,0.457,0.604
sticky_mustang,0.513,0.5740000000000001,0.762,0.518,0.712,0.513,0.526,0.443,0.396,0.451,0.61,0.5650000000000001,0.74,0.522,1.0,0.636,0.646,0.5650000000000001,0.743,0.595
graceful_hornet,0.453,0.656,0.675,0.757,0.742,0.535,0.707,0.704,0.392,0.462,0.656,0.594,0.659,0.55,0.636,1.0,0.8150000000000001,0.843,0.6990000000000001,0.72
true_hare,0.463,0.769,0.606,0.784,0.682,0.548,0.776,0.643,0.405,0.484,0.682,0.531,0.593,0.492,0.646,0.8150000000000001,1.0,0.8130000000000001,0.682,0.644
greedy_swine,0.399,0.648,0.65,0.895,0.6940000000000001,0.621,0.784,0.741,0.337,0.417,0.583,0.668,0.659,0.619,0.5650000000000001,0.843,0.8130000000000001,1.0,0.584,0.78
nickel_uakari,0.51,0.671,0.709,0.544,0.724,0.438,0.543,0.419,0.452,0.512,0.6960000000000001,0.494,0.6890000000000001,0.457,0.743,0.6990000000000001,0.682,0.584,1.0,0.586
pink_hedgehog,0.365,0.542,0.643,0.732,0.585,0.632,0.708,0.644,0.258,0.331,0.548,0.652,0.651,0.604,0.595,0.72,0.644,0.78,0.586,1.0
