Unnamed: 0,tireless_firefly,unnatural_seagull,lovely_avocet,athletic_finch,artichoke_agouti,logical_bittern,messy_stork,quixotic_jackrabbit,enthusiastic_trogon,impossible_quokka,juicy_camel,classic_boa,fascinating_tarantula,subtle_sunfish,nostalgic_whale,spiffy_limpet,glaring_booby,tentacled_antelope,independent_vole,intrepid_coucal
tireless_firefly,1.0,0.29,0.378,0.449,0.7020000000000001,0.41400000000000003,0.436,0.23,0.316,0.278,0.329,0.718,0.253,0.395,0.292,0.34600000000000003,0.357,0.32,0.454,0.39
unnatural_seagull,0.29,1.0,0.402,0.541,0.223,0.422,0.529,0.534,0.642,0.668,0.611,0.38,0.7030000000000001,0.644,0.608,0.526,0.631,0.595,0.601,0.5680000000000001
lovely_avocet,0.378,0.402,1.0,0.483,0.324,0.372,0.547,0.272,0.402,0.291,0.327,0.378,0.41100000000000003,0.422,0.448,0.40700000000000003,0.427,0.372,0.488,0.538
athletic_finch,0.449,0.541,0.483,1.0,0.341,0.596,0.6890000000000001,0.458,0.645,0.537,0.561,0.526,0.521,0.6950000000000001,0.622,0.657,0.733,0.681,0.845,0.555
artichoke_agouti,0.7020000000000001,0.223,0.324,0.341,1.0,0.362,0.364,0.17500000000000002,0.278,0.226,0.248,0.542,0.202,0.322,0.23900000000000002,0.294,0.325,0.272,0.34400000000000003,0.299
logical_bittern,0.41400000000000003,0.422,0.372,0.596,0.362,1.0,0.537,0.35100000000000003,0.529,0.433,0.4,0.538,0.433,0.508,0.47100000000000003,0.511,0.513,0.512,0.602,0.389
messy_stork,0.436,0.529,0.547,0.6890000000000001,0.364,0.537,1.0,0.4,0.605,0.494,0.516,0.5,0.557,0.638,0.551,0.5650000000000001,0.6980000000000001,0.601,0.682,0.6000000000000001
quixotic_jackrabbit,0.23,0.534,0.272,0.458,0.17500000000000002,0.35100000000000003,0.4,1.0,0.539,0.612,0.5670000000000001,0.32,0.559,0.481,0.558,0.427,0.521,0.544,0.433,0.382
enthusiastic_trogon,0.316,0.642,0.402,0.645,0.278,0.529,0.605,0.539,1.0,0.628,0.5630000000000001,0.417,0.709,0.733,0.6880000000000001,0.537,0.785,0.748,0.662,0.542
impossible_quokka,0.278,0.668,0.291,0.537,0.226,0.433,0.494,0.612,0.628,1.0,0.68,0.389,0.616,0.586,0.744,0.515,0.642,0.732,0.529,0.435
juicy_camel,0.329,0.611,0.327,0.561,0.248,0.4,0.516,0.5670000000000001,0.5630000000000001,0.68,1.0,0.446,0.602,0.5690000000000001,0.617,0.5650000000000001,0.595,0.604,0.5670000000000001,0.467
classic_boa,0.718,0.38,0.378,0.526,0.542,0.538,0.5,0.32,0.417,0.389,0.446,1.0,0.382,0.453,0.34700000000000003,0.514,0.417,0.382,0.542,0.436
fascinating_tarantula,0.253,0.7030000000000001,0.41100000000000003,0.521,0.202,0.433,0.557,0.559,0.709,0.616,0.602,0.382,1.0,0.613,0.681,0.492,0.6970000000000001,0.674,0.558,0.5630000000000001
subtle_sunfish,0.395,0.644,0.422,0.6950000000000001,0.322,0.508,0.638,0.481,0.733,0.586,0.5690000000000001,0.453,0.613,1.0,0.652,0.624,0.8280000000000001,0.734,0.779,0.577
nostalgic_whale,0.292,0.608,0.448,0.622,0.23900000000000002,0.47100000000000003,0.551,0.558,0.6880000000000001,0.744,0.617,0.34700000000000003,0.681,0.652,1.0,0.561,0.763,0.87,0.658,0.577
spiffy_limpet,0.34600000000000003,0.526,0.40700000000000003,0.657,0.294,0.511,0.5650000000000001,0.427,0.537,0.515,0.5650000000000001,0.514,0.492,0.624,0.561,1.0,0.6000000000000001,0.5740000000000001,0.658,0.47800000000000004
glaring_booby,0.357,0.631,0.427,0.733,0.325,0.513,0.6980000000000001,0.521,0.785,0.642,0.595,0.417,0.6970000000000001,0.8280000000000001,0.763,0.6000000000000001,1.0,0.852,0.779,0.5720000000000001
tentacled_antelope,0.32,0.595,0.372,0.681,0.272,0.512,0.601,0.544,0.748,0.732,0.604,0.382,0.674,0.734,0.87,0.5740000000000001,0.852,1.0,0.681,0.536
independent_vole,0.454,0.601,0.488,0.845,0.34400000000000003,0.602,0.682,0.433,0.662,0.529,0.5670000000000001,0.542,0.558,0.779,0.658,0.658,0.779,0.681,1.0,0.635
intrepid_coucal,0.39,0.5680000000000001,0.538,0.555,0.299,0.389,0.6000000000000001,0.382,0.542,0.435,0.467,0.436,0.5630000000000001,0.577,0.577,0.47800000000000004,0.5720000000000001,0.536,0.635,1.0
