Unnamed: 0,misty_dinosaur,translucent_tuatara,fiery_chihuahua,cyber_cuscus,airborne_tamarin,turquoise_wren,witty_ocelot,arcane_sturgeon,lavender_echidna,onyx_wolverine,steel_dragonfly,uptight_coot,yellow_porcupine,tacky_caiman,natural_adder,adamant_hummingbird,sociable_eel,frisky_jackal,demonic_cuttlefish,fearless_dogfish
misty_dinosaur,1.0,0.558,0.634,0.498,0.226,0.773,0.432,0.605,0.732,0.48,0.41200000000000003,0.58,0.439,0.595,0.709,0.759,0.592,0.461,0.41400000000000003,0.529
translucent_tuatara,0.558,1.0,0.654,0.591,0.354,0.587,0.67,0.652,0.597,0.633,0.496,0.517,0.609,0.5700000000000001,0.719,0.635,0.5750000000000001,0.484,0.586,0.556
fiery_chihuahua,0.634,0.654,1.0,0.622,0.28200000000000003,0.67,0.58,0.767,0.762,0.604,0.529,0.643,0.5700000000000001,0.678,0.741,0.731,0.664,0.554,0.559,0.594
cyber_cuscus,0.498,0.591,0.622,1.0,0.41000000000000003,0.529,0.686,0.735,0.606,0.771,0.833,0.616,0.8250000000000001,0.709,0.589,0.598,0.5740000000000001,0.781,0.72,0.5750000000000001
airborne_tamarin,0.226,0.354,0.28200000000000003,0.41000000000000003,1.0,0.251,0.46900000000000003,0.327,0.278,0.442,0.486,0.231,0.487,0.311,0.294,0.28300000000000003,0.258,0.276,0.461,0.312
turquoise_wren,0.773,0.587,0.67,0.529,0.251,1.0,0.481,0.671,0.725,0.534,0.456,0.617,0.47700000000000004,0.618,0.6910000000000001,0.803,0.6930000000000001,0.488,0.46,0.579
witty_ocelot,0.432,0.67,0.58,0.686,0.46900000000000003,0.481,1.0,0.556,0.49,0.6900000000000001,0.727,0.41500000000000004,0.687,0.496,0.61,0.541,0.45,0.546,0.686,0.512
arcane_sturgeon,0.605,0.652,0.767,0.735,0.327,0.671,0.556,1.0,0.741,0.764,0.629,0.748,0.649,0.757,0.712,0.682,0.66,0.6950000000000001,0.657,0.662
lavender_echidna,0.732,0.597,0.762,0.606,0.278,0.725,0.49,0.741,1.0,0.55,0.517,0.681,0.511,0.768,0.714,0.742,0.687,0.556,0.491,0.674
onyx_wolverine,0.48,0.633,0.604,0.771,0.442,0.534,0.6900000000000001,0.764,0.55,1.0,0.6900000000000001,0.56,0.839,0.642,0.621,0.601,0.541,0.6970000000000001,0.849,0.555
steel_dragonfly,0.41200000000000003,0.496,0.529,0.833,0.486,0.456,0.727,0.629,0.517,0.6900000000000001,1.0,0.518,0.777,0.61,0.504,0.516,0.492,0.648,0.668,0.537
uptight_coot,0.58,0.517,0.643,0.616,0.231,0.617,0.41500000000000004,0.748,0.681,0.56,0.518,1.0,0.506,0.6990000000000001,0.623,0.673,0.632,0.615,0.47400000000000003,0.596
yellow_porcupine,0.439,0.609,0.5700000000000001,0.8250000000000001,0.487,0.47700000000000004,0.687,0.649,0.511,0.839,0.777,0.506,1.0,0.641,0.58,0.537,0.502,0.7020000000000001,0.854,0.509
tacky_caiman,0.595,0.5700000000000001,0.678,0.709,0.311,0.618,0.496,0.757,0.768,0.642,0.61,0.6990000000000001,0.641,1.0,0.652,0.683,0.665,0.684,0.602,0.777
natural_adder,0.709,0.719,0.741,0.589,0.294,0.6910000000000001,0.61,0.712,0.714,0.621,0.504,0.623,0.58,0.652,1.0,0.761,0.589,0.521,0.527,0.657
adamant_hummingbird,0.759,0.635,0.731,0.598,0.28300000000000003,0.803,0.541,0.682,0.742,0.601,0.516,0.673,0.537,0.683,0.761,1.0,0.657,0.539,0.518,0.618
sociable_eel,0.592,0.5750000000000001,0.664,0.5740000000000001,0.258,0.6930000000000001,0.45,0.66,0.687,0.541,0.492,0.632,0.502,0.665,0.589,0.657,1.0,0.546,0.508,0.6950000000000001
frisky_jackal,0.461,0.484,0.554,0.781,0.276,0.488,0.546,0.6950000000000001,0.556,0.6970000000000001,0.648,0.615,0.7020000000000001,0.684,0.521,0.539,0.546,1.0,0.651,0.554
demonic_cuttlefish,0.41400000000000003,0.586,0.559,0.72,0.461,0.46,0.686,0.657,0.491,0.849,0.668,0.47400000000000003,0.854,0.602,0.527,0.518,0.508,0.651,1.0,0.516
fearless_dogfish,0.529,0.556,0.594,0.5750000000000001,0.312,0.579,0.512,0.662,0.674,0.555,0.537,0.596,0.509,0.777,0.657,0.618,0.6950000000000001,0.554,0.516,1.0
