Unnamed: 0,fractal_bullmastiff,fluffy_horse,truthful_mongrel,astute_limpet,literate_meerkat,loyal_bullmastiff,denim_agama,sociable_collie,shrewd_fossa,prehistoric_lori,hospitable_chachalaca,loutish_cow,ruby_potoo,black_zebra,celadon_caracara,statuesque_wren,nippy_badger,godlike_cat,positive_bee,psychedelic_rabbit
fractal_bullmastiff,1.0,0.618,0.483,0.384,0.314,0.495,0.419,0.276,0.465,0.338,0.355,0.523,0.44,0.738,0.622,0.304,0.553,0.5730000000000001,0.436,0.377
fluffy_horse,0.618,1.0,0.771,0.532,0.503,0.793,0.632,0.442,0.418,0.502,0.51,0.64,0.704,0.6900000000000001,0.746,0.448,0.767,0.753,0.5680000000000001,0.5690000000000001
truthful_mongrel,0.483,0.771,1.0,0.512,0.468,0.653,0.642,0.46,0.365,0.515,0.456,0.6990000000000001,0.58,0.629,0.767,0.422,0.672,0.734,0.5710000000000001,0.582
astute_limpet,0.384,0.532,0.512,1.0,0.634,0.603,0.718,0.5700000000000001,0.263,0.616,0.662,0.487,0.584,0.487,0.524,0.752,0.485,0.525,0.76,0.717
literate_meerkat,0.314,0.503,0.468,0.634,1.0,0.595,0.516,0.682,0.20700000000000002,0.652,0.648,0.482,0.663,0.368,0.442,0.664,0.438,0.422,0.532,0.648
loyal_bullmastiff,0.495,0.793,0.653,0.603,0.595,1.0,0.724,0.495,0.334,0.541,0.5740000000000001,0.609,0.8160000000000001,0.58,0.625,0.532,0.638,0.613,0.5700000000000001,0.631
denim_agama,0.419,0.632,0.642,0.718,0.516,0.724,1.0,0.55,0.267,0.59,0.577,0.614,0.635,0.538,0.66,0.58,0.617,0.626,0.63,0.774
sociable_collie,0.276,0.442,0.46,0.5700000000000001,0.682,0.495,0.55,1.0,0.202,0.6970000000000001,0.613,0.494,0.532,0.36,0.428,0.662,0.404,0.398,0.47500000000000003,0.675
shrewd_fossa,0.465,0.418,0.365,0.263,0.20700000000000002,0.334,0.267,0.202,1.0,0.214,0.202,0.367,0.298,0.518,0.428,0.215,0.40700000000000003,0.418,0.299,0.258
prehistoric_lori,0.338,0.502,0.515,0.616,0.652,0.541,0.59,0.6970000000000001,0.214,1.0,0.619,0.46900000000000003,0.578,0.419,0.5,0.682,0.395,0.47500000000000003,0.5650000000000001,0.734
hospitable_chachalaca,0.355,0.51,0.456,0.662,0.648,0.5740000000000001,0.577,0.613,0.202,0.619,1.0,0.378,0.596,0.352,0.384,0.684,0.457,0.387,0.581,0.609
loutish_cow,0.523,0.64,0.6990000000000001,0.487,0.482,0.609,0.614,0.494,0.367,0.46900000000000003,0.378,1.0,0.651,0.708,0.729,0.417,0.648,0.654,0.52,0.577
ruby_potoo,0.44,0.704,0.58,0.584,0.663,0.8160000000000001,0.635,0.532,0.298,0.578,0.596,0.651,1.0,0.515,0.619,0.507,0.5670000000000001,0.5740000000000001,0.552,0.647
black_zebra,0.738,0.6900000000000001,0.629,0.487,0.368,0.58,0.538,0.36,0.518,0.419,0.352,0.708,0.515,1.0,0.838,0.393,0.542,0.671,0.554,0.462
celadon_caracara,0.622,0.746,0.767,0.524,0.442,0.625,0.66,0.428,0.428,0.5,0.384,0.729,0.619,0.838,1.0,0.423,0.613,0.8290000000000001,0.596,0.555
statuesque_wren,0.304,0.448,0.422,0.752,0.664,0.532,0.58,0.662,0.215,0.682,0.684,0.417,0.507,0.393,0.423,1.0,0.41000000000000003,0.424,0.652,0.676
nippy_badger,0.553,0.767,0.672,0.485,0.438,0.638,0.617,0.404,0.40700000000000003,0.395,0.457,0.648,0.5670000000000001,0.542,0.613,0.41000000000000003,1.0,0.591,0.531,0.521
godlike_cat,0.5730000000000001,0.753,0.734,0.525,0.422,0.613,0.626,0.398,0.418,0.47500000000000003,0.387,0.654,0.5740000000000001,0.671,0.8290000000000001,0.424,0.591,1.0,0.508,0.537
positive_bee,0.436,0.5680000000000001,0.5710000000000001,0.76,0.532,0.5700000000000001,0.63,0.47500000000000003,0.299,0.5650000000000001,0.581,0.52,0.552,0.554,0.596,0.652,0.531,0.508,1.0,0.587
psychedelic_rabbit,0.377,0.5690000000000001,0.582,0.717,0.648,0.631,0.774,0.675,0.258,0.734,0.609,0.577,0.647,0.462,0.555,0.676,0.521,0.537,0.587,1.0
