Unnamed: 0,festive_alligator,diamond_wildcat,jasper_avocet,marigold_boobook,upbeat_leopard,crazy_limpet,rare_beluga,successful_raven,discerning_bullfinch,auburn_toucan,rose_terrier,chubby_swine,original_cow,chubby_adder,accelerated_sawfish,tireless_shark,discreet_lion,debonair_bettong,skinny_jerboa,mellow_bumblebee
festive_alligator,1.0,0.289,0.525,0.186,0.41600000000000004,0.178,0.28,0.161,0.188,0.21,0.28800000000000003,0.109,0.226,0.181,0.17500000000000002,0.268,0.138,0.215,0.25,0.201
diamond_wildcat,0.289,1.0,0.483,0.5,0.423,0.404,0.47000000000000003,0.446,0.394,0.422,0.658,0.304,0.515,0.423,0.47900000000000004,0.5,0.272,0.391,0.484,0.462
jasper_avocet,0.525,0.483,1.0,0.364,0.725,0.36,0.526,0.316,0.379,0.393,0.461,0.20700000000000002,0.378,0.358,0.343,0.509,0.262,0.40900000000000003,0.423,0.41300000000000003
marigold_boobook,0.186,0.5,0.364,1.0,0.46,0.634,0.623,0.805,0.788,0.744,0.662,0.422,0.635,0.803,0.909,0.671,0.495,0.793,0.656,0.8260000000000001
upbeat_leopard,0.41600000000000004,0.423,0.725,0.46,1.0,0.406,0.546,0.403,0.489,0.446,0.512,0.223,0.387,0.442,0.434,0.524,0.323,0.519,0.47700000000000004,0.484
crazy_limpet,0.178,0.404,0.36,0.634,0.406,1.0,0.591,0.671,0.778,0.613,0.514,0.523,0.5720000000000001,0.8290000000000001,0.685,0.5700000000000001,0.536,0.668,0.595,0.638
rare_beluga,0.28,0.47000000000000003,0.526,0.623,0.546,0.591,1.0,0.517,0.5750000000000001,0.612,0.5690000000000001,0.355,0.544,0.5740000000000001,0.587,0.723,0.417,0.6990000000000001,0.663,0.645
successful_raven,0.161,0.446,0.316,0.805,0.403,0.671,0.517,1.0,0.811,0.68,0.593,0.42,0.577,0.796,0.891,0.5710000000000001,0.495,0.725,0.545,0.765
discerning_bullfinch,0.188,0.394,0.379,0.788,0.489,0.778,0.5750000000000001,0.811,1.0,0.743,0.585,0.462,0.609,0.861,0.841,0.5760000000000001,0.515,0.8230000000000001,0.601,0.765
auburn_toucan,0.21,0.422,0.393,0.744,0.446,0.613,0.612,0.68,0.743,1.0,0.559,0.439,0.559,0.781,0.736,0.623,0.529,0.777,0.633,0.718
rose_terrier,0.28800000000000003,0.658,0.461,0.662,0.512,0.514,0.5690000000000001,0.593,0.585,0.559,1.0,0.35100000000000003,0.638,0.5640000000000001,0.635,0.588,0.364,0.534,0.602,0.617
chubby_swine,0.109,0.304,0.20700000000000002,0.422,0.223,0.523,0.355,0.42,0.462,0.439,0.35100000000000003,1.0,0.499,0.527,0.461,0.372,0.593,0.429,0.428,0.388
original_cow,0.226,0.515,0.378,0.635,0.387,0.5720000000000001,0.544,0.577,0.609,0.559,0.638,0.499,1.0,0.587,0.665,0.644,0.47200000000000003,0.515,0.716,0.539
chubby_adder,0.181,0.423,0.358,0.803,0.442,0.8290000000000001,0.5740000000000001,0.796,0.861,0.781,0.5640000000000001,0.527,0.587,1.0,0.854,0.585,0.578,0.808,0.617,0.781
accelerated_sawfish,0.17500000000000002,0.47900000000000004,0.343,0.909,0.434,0.685,0.587,0.891,0.841,0.736,0.635,0.461,0.665,0.854,1.0,0.612,0.486,0.785,0.618,0.8180000000000001
tireless_shark,0.268,0.5,0.509,0.671,0.524,0.5700000000000001,0.723,0.5710000000000001,0.5760000000000001,0.623,0.588,0.372,0.644,0.585,0.612,1.0,0.463,0.611,0.645,0.611
discreet_lion,0.138,0.272,0.262,0.495,0.323,0.536,0.417,0.495,0.515,0.529,0.364,0.593,0.47200000000000003,0.578,0.486,0.463,1.0,0.537,0.42,0.49
debonair_bettong,0.215,0.391,0.40900000000000003,0.793,0.519,0.668,0.6990000000000001,0.725,0.8230000000000001,0.777,0.534,0.429,0.515,0.808,0.785,0.611,0.537,1.0,0.561,0.777
skinny_jerboa,0.25,0.484,0.423,0.656,0.47700000000000004,0.595,0.663,0.545,0.601,0.633,0.602,0.428,0.716,0.617,0.618,0.645,0.42,0.561,1.0,0.647
mellow_bumblebee,0.201,0.462,0.41300000000000003,0.8260000000000001,0.484,0.638,0.645,0.765,0.765,0.718,0.617,0.388,0.539,0.781,0.8180000000000001,0.611,0.49,0.777,0.647,1.0
