Unnamed: 0,persimmon_bumblebee,clay_carp,uber_squirrel,russet_pegasus,therapeutic_shark,ambitious_partridge,thick_cuscus,scarlet_wolf,glorious_pug,zealous_beetle,vehement_newt,rampant_buzzard,impossible_caiman,splendid_iguana,phenomenal_axolotl,umber_bear,ebony_lobster,aquamarine_rook,ubiquitous_pug,tomato_alpaca
persimmon_bumblebee,1.0,0.712,0.521,0.602,0.499,0.5750000000000001,0.515,0.669,0.193,0.317,0.582,0.659,0.342,0.511,0.739,0.47500000000000003,0.642,0.455,0.481,0.507
clay_carp,0.712,1.0,0.523,0.6970000000000001,0.495,0.5,0.5,0.624,0.114,0.281,0.448,0.624,0.338,0.47400000000000003,0.731,0.425,0.602,0.427,0.493,0.5
uber_squirrel,0.521,0.523,1.0,0.621,0.6970000000000001,0.579,0.747,0.5740000000000001,0.18,0.443,0.624,0.6890000000000001,0.51,0.517,0.687,0.625,0.542,0.613,0.725,0.741
russet_pegasus,0.602,0.6970000000000001,0.621,1.0,0.615,0.545,0.615,0.714,0.14300000000000002,0.335,0.482,0.712,0.4,0.623,0.715,0.54,0.682,0.49,0.58,0.536
therapeutic_shark,0.499,0.495,0.6970000000000001,0.615,1.0,0.597,0.804,0.635,0.21,0.483,0.668,0.709,0.595,0.664,0.667,0.802,0.597,0.71,0.717,0.802
ambitious_partridge,0.5750000000000001,0.5,0.579,0.545,0.597,1.0,0.5700000000000001,0.635,0.182,0.445,0.6940000000000001,0.609,0.421,0.615,0.579,0.644,0.619,0.537,0.589,0.5630000000000001
thick_cuscus,0.515,0.5,0.747,0.615,0.804,0.5700000000000001,1.0,0.616,0.211,0.521,0.672,0.628,0.5650000000000001,0.652,0.622,0.687,0.561,0.731,0.8230000000000001,0.8210000000000001
scarlet_wolf,0.669,0.624,0.5740000000000001,0.714,0.635,0.635,0.616,1.0,0.147,0.362,0.553,0.6950000000000001,0.417,0.682,0.751,0.589,0.9,0.522,0.5740000000000001,0.539
glorious_pug,0.193,0.114,0.18,0.14300000000000002,0.21,0.182,0.211,0.147,1.0,0.389,0.328,0.187,0.34500000000000003,0.212,0.154,0.25,0.14400000000000002,0.253,0.202,0.222
zealous_beetle,0.317,0.281,0.443,0.335,0.483,0.445,0.521,0.362,0.389,1.0,0.533,0.443,0.616,0.47500000000000003,0.38,0.605,0.339,0.507,0.451,0.529
vehement_newt,0.582,0.448,0.624,0.482,0.668,0.6940000000000001,0.672,0.553,0.328,0.533,1.0,0.594,0.465,0.606,0.557,0.718,0.545,0.615,0.618,0.6920000000000001
rampant_buzzard,0.659,0.624,0.6890000000000001,0.712,0.709,0.609,0.628,0.6950000000000001,0.187,0.443,0.594,1.0,0.49,0.677,0.844,0.684,0.649,0.578,0.607,0.671
impossible_caiman,0.342,0.338,0.51,0.4,0.595,0.421,0.5650000000000001,0.417,0.34500000000000003,0.616,0.465,0.49,1.0,0.492,0.45,0.58,0.397,0.549,0.531,0.635
splendid_iguana,0.511,0.47400000000000003,0.517,0.623,0.664,0.615,0.652,0.682,0.212,0.47500000000000003,0.606,0.677,0.492,1.0,0.607,0.667,0.644,0.595,0.558,0.607
phenomenal_axolotl,0.739,0.731,0.687,0.715,0.667,0.579,0.622,0.751,0.154,0.38,0.557,0.844,0.45,0.607,1.0,0.5740000000000001,0.672,0.5710000000000001,0.592,0.647
umber_bear,0.47500000000000003,0.425,0.625,0.54,0.802,0.644,0.687,0.589,0.25,0.605,0.718,0.684,0.58,0.667,0.5740000000000001,1.0,0.55,0.719,0.648,0.715
ebony_lobster,0.642,0.602,0.542,0.682,0.597,0.619,0.561,0.9,0.14400000000000002,0.339,0.545,0.649,0.397,0.644,0.672,0.55,1.0,0.491,0.516,0.532
aquamarine_rook,0.455,0.427,0.613,0.49,0.71,0.537,0.731,0.522,0.253,0.507,0.615,0.578,0.549,0.595,0.5710000000000001,0.719,0.491,1.0,0.633,0.754
ubiquitous_pug,0.481,0.493,0.725,0.58,0.717,0.589,0.8230000000000001,0.5740000000000001,0.202,0.451,0.618,0.607,0.531,0.558,0.592,0.648,0.516,0.633,1.0,0.762
tomato_alpaca,0.507,0.5,0.741,0.536,0.802,0.5630000000000001,0.8210000000000001,0.539,0.222,0.529,0.6920000000000001,0.671,0.635,0.607,0.647,0.715,0.532,0.754,0.762,1.0
