Unnamed: 0,tangerine_cockle,cyan_ermine,smoky_swift,merry_beetle,laughing_binturong,majestic_wolf,modest_bull,tourmaline_pogona,nifty_lorikeet,neat_lori,famous_dogfish,cerise_shrimp,marvellous_rattlesnake,smart_poodle,wine_orca,victorious_swift,electric_nyala,exuberant_snail,banana_bat,satisfied_cow
tangerine_cockle,1.0,0.508,0.447,0.307,0.37,0.66,0.736,0.229,0.41200000000000003,0.6890000000000001,0.261,0.41100000000000003,0.34600000000000003,0.275,0.28500000000000003,0.278,0.34800000000000003,0.499,0.34,0.417
cyan_ermine,0.508,1.0,0.323,0.425,0.432,0.403,0.44,0.466,0.5740000000000001,0.498,0.386,0.559,0.432,0.369,0.386,0.378,0.439,0.539,0.246,0.503
smoky_swift,0.447,0.323,1.0,0.165,0.165,0.6000000000000001,0.429,0.194,0.247,0.6000000000000001,0.127,0.211,0.154,0.123,0.127,0.126,0.156,0.222,0.762,0.20400000000000001
merry_beetle,0.307,0.425,0.165,1.0,0.674,0.249,0.213,0.599,0.647,0.20600000000000002,0.6000000000000001,0.542,0.759,0.614,0.629,0.524,0.539,0.562,0.126,0.55
laughing_binturong,0.37,0.432,0.165,0.674,1.0,0.268,0.272,0.554,0.647,0.265,0.56,0.507,0.686,0.56,0.629,0.559,0.609,0.66,0.126,0.663
majestic_wolf,0.66,0.403,0.6000000000000001,0.249,0.268,1.0,0.589,0.233,0.28300000000000003,0.7030000000000001,0.20700000000000002,0.242,0.251,0.199,0.20700000000000002,0.203,0.253,0.365,0.457,0.303
modest_bull,0.736,0.44,0.429,0.213,0.272,0.589,1.0,0.171,0.318,0.743,0.21,0.278,0.254,0.202,0.21,0.20400000000000001,0.256,0.38,0.457,0.336
tourmaline_pogona,0.229,0.466,0.194,0.599,0.554,0.233,0.171,1.0,0.559,0.249,0.501,0.549,0.607,0.539,0.501,0.442,0.498,0.505,0.146,0.453
nifty_lorikeet,0.41200000000000003,0.5740000000000001,0.247,0.647,0.647,0.28300000000000003,0.318,0.559,1.0,0.306,0.515,0.633,0.605,0.497,0.503,0.5,0.488,0.6970000000000001,0.188,0.67
neat_lori,0.6890000000000001,0.498,0.6000000000000001,0.20600000000000002,0.265,0.7030000000000001,0.743,0.249,0.306,1.0,0.196,0.269,0.23800000000000002,0.189,0.201,0.19,0.24,0.34700000000000003,0.457,0.315
famous_dogfish,0.261,0.386,0.127,0.6000000000000001,0.56,0.20700000000000002,0.21,0.501,0.515,0.196,1.0,0.452,0.747,0.871,0.86,0.743,0.544,0.457,0.097,0.504
cerise_shrimp,0.41100000000000003,0.559,0.211,0.542,0.507,0.242,0.278,0.549,0.633,0.269,0.452,1.0,0.47600000000000003,0.40900000000000003,0.395,0.427,0.538,0.618,0.156,0.589
marvellous_rattlesnake,0.34600000000000003,0.432,0.154,0.759,0.686,0.251,0.254,0.607,0.605,0.23800000000000002,0.747,0.47600000000000003,1.0,0.739,0.784,0.644,0.628,0.599,0.11800000000000001,0.543
smart_poodle,0.275,0.369,0.123,0.614,0.56,0.199,0.202,0.539,0.497,0.189,0.871,0.40900000000000003,0.739,1.0,0.847,0.68,0.526,0.47600000000000003,0.094,0.51
wine_orca,0.28500000000000003,0.386,0.127,0.629,0.629,0.20700000000000002,0.21,0.501,0.503,0.201,0.86,0.395,0.784,0.847,1.0,0.6910000000000001,0.5630000000000001,0.505,0.097,0.48
victorious_swift,0.278,0.378,0.126,0.524,0.559,0.203,0.20400000000000001,0.442,0.5,0.19,0.743,0.427,0.644,0.68,0.6910000000000001,1.0,0.618,0.533,0.095,0.497
electric_nyala,0.34800000000000003,0.439,0.156,0.539,0.609,0.253,0.256,0.498,0.488,0.24,0.544,0.538,0.628,0.526,0.5630000000000001,0.618,1.0,0.625,0.11900000000000001,0.554
exuberant_snail,0.499,0.539,0.222,0.562,0.66,0.365,0.38,0.505,0.6970000000000001,0.34700000000000003,0.457,0.618,0.599,0.47600000000000003,0.505,0.533,0.625,1.0,0.176,0.752
banana_bat,0.34,0.246,0.762,0.126,0.126,0.457,0.457,0.146,0.188,0.457,0.097,0.156,0.11800000000000001,0.094,0.097,0.095,0.11900000000000001,0.176,1.0,0.155
satisfied_cow,0.417,0.503,0.20400000000000001,0.55,0.663,0.303,0.336,0.453,0.67,0.315,0.504,0.589,0.543,0.51,0.48,0.497,0.554,0.752,0.155,1.0
