Unnamed: 0,wooden_bear,offbeat_gazelle,conscious_muskox,thick_wren,smart_chicken,quick_asp,cheerful_kagu,rebel_impala,stoic_jacamar,spiked_grebe,qualified_fox,heretic_grebe,knowing_ibex,marvellous_marmoset,vengeful_oxpecker,powerful_porcupine,smiling_bull,real_seriema,prophetic_tiger,unbiased_mastiff
wooden_bear,1.0,0.686,0.7020000000000001,0.517,0.71,0.8,0.772,0.533,0.6960000000000001,0.8210000000000001,0.666,0.627,0.71,0.788,0.664,0.577,0.71,0.556,0.728,0.5740000000000001
offbeat_gazelle,0.686,1.0,0.63,0.615,0.739,0.706,0.73,0.436,0.725,0.644,0.6960000000000001,0.41600000000000004,0.551,0.679,0.5630000000000001,0.459,0.605,0.463,0.554,0.5740000000000001
conscious_muskox,0.7020000000000001,0.63,1.0,0.603,0.737,0.736,0.807,0.65,0.722,0.672,0.747,0.5710000000000001,0.741,0.674,0.6990000000000001,0.582,0.666,0.5,0.686,0.609
thick_wren,0.517,0.615,0.603,1.0,0.663,0.634,0.613,0.402,0.644,0.467,0.705,0.433,0.541,0.528,0.523,0.452,0.462,0.355,0.502,0.607
smart_chicken,0.71,0.739,0.737,0.663,1.0,0.872,0.924,0.546,0.981,0.644,0.9410000000000001,0.558,0.719,0.6940000000000001,0.659,0.47300000000000003,0.579,0.435,0.584,0.764
quick_asp,0.8,0.706,0.736,0.634,0.872,1.0,0.861,0.487,0.855,0.736,0.8180000000000001,0.604,0.7010000000000001,0.6920000000000001,0.638,0.492,0.639,0.481,0.621,0.708
cheerful_kagu,0.772,0.73,0.807,0.613,0.924,0.861,1.0,0.619,0.907,0.7000000000000001,0.87,0.609,0.779,0.759,0.727,0.521,0.632,0.47500000000000003,0.646,0.72
rebel_impala,0.533,0.436,0.65,0.402,0.546,0.487,0.619,1.0,0.53,0.484,0.495,0.662,0.726,0.516,0.709,0.531,0.55,0.465,0.638,0.583
stoic_jacamar,0.6960000000000001,0.725,0.722,0.644,0.981,0.855,0.907,0.53,1.0,0.631,0.922,0.54,0.719,0.679,0.643,0.462,0.5670000000000001,0.435,0.584,0.746
spiked_grebe,0.8210000000000001,0.644,0.672,0.467,0.644,0.736,0.7000000000000001,0.484,0.631,1.0,0.604,0.63,0.605,0.648,0.635,0.661,0.8,0.626,0.729,0.588
qualified_fox,0.666,0.6960000000000001,0.747,0.705,0.9410000000000001,0.8180000000000001,0.87,0.495,0.922,0.604,1.0,0.502,0.677,0.647,0.61,0.46,0.542,0.406,0.539,0.708
heretic_grebe,0.627,0.41600000000000004,0.5710000000000001,0.433,0.558,0.604,0.609,0.662,0.54,0.63,0.502,1.0,0.67,0.47200000000000003,0.614,0.562,0.555,0.48,0.639,0.591
knowing_ibex,0.71,0.551,0.741,0.541,0.719,0.7010000000000001,0.779,0.726,0.719,0.605,0.677,0.67,1.0,0.6930000000000001,0.712,0.5690000000000001,0.581,0.47400000000000003,0.6880000000000001,0.715
marvellous_marmoset,0.788,0.679,0.674,0.528,0.6940000000000001,0.6920000000000001,0.759,0.516,0.679,0.648,0.647,0.47200000000000003,0.6930000000000001,1.0,0.652,0.47600000000000003,0.589,0.432,0.599,0.524
vengeful_oxpecker,0.664,0.5630000000000001,0.6990000000000001,0.523,0.659,0.638,0.727,0.709,0.643,0.635,0.61,0.614,0.712,0.652,1.0,0.513,0.647,0.504,0.681,0.733
powerful_porcupine,0.577,0.459,0.582,0.452,0.47300000000000003,0.492,0.521,0.531,0.462,0.661,0.46,0.562,0.5690000000000001,0.47600000000000003,0.513,1.0,0.662,0.613,0.643,0.514
smiling_bull,0.71,0.605,0.666,0.462,0.579,0.639,0.632,0.55,0.5670000000000001,0.8,0.542,0.555,0.581,0.589,0.647,0.662,1.0,0.634,0.73,0.555
real_seriema,0.556,0.463,0.5,0.355,0.435,0.481,0.47500000000000003,0.465,0.435,0.626,0.406,0.48,0.47400000000000003,0.432,0.504,0.613,0.634,1.0,0.594,0.426
prophetic_tiger,0.728,0.554,0.686,0.502,0.584,0.621,0.646,0.638,0.584,0.729,0.539,0.639,0.6880000000000001,0.599,0.681,0.643,0.73,0.594,1.0,0.611
unbiased_mastiff,0.5740000000000001,0.5740000000000001,0.609,0.607,0.764,0.708,0.72,0.583,0.746,0.588,0.708,0.591,0.715,0.524,0.733,0.514,0.555,0.426,0.611,1.0
