Unnamed: 0,pearl_swift,colorful_corgi,small_puffin,natural_alpaca,vengeful_raptor,adaptable_monkey,simple_anaconda,prehistoric_crow,charcoal_ladybug,abstract_pegasus,impartial_quokka,liberal_porcupine,evasive_bumblebee,industrious_manul,spry_kestrel,massive_skunk,calculating_shellfish,futuristic_pheasant,tiny_agouti,acoustic_shrew
pearl_swift,1.0,0.34600000000000003,0.561,0.399,0.447,0.362,0.422,0.312,0.524,0.406,0.486,0.5640000000000001,0.72,0.427,0.451,0.272,0.404,0.359,0.513,0.338
colorful_corgi,0.34600000000000003,1.0,0.379,0.754,0.724,0.604,0.653,0.596,0.377,0.687,0.462,0.485,0.396,0.652,0.678,0.5650000000000001,0.55,0.735,0.557,0.594
small_puffin,0.561,0.379,1.0,0.462,0.551,0.457,0.488,0.354,0.85,0.557,0.6880000000000001,0.593,0.40700000000000003,0.493,0.5740000000000001,0.28700000000000003,0.451,0.329,0.648,0.35100000000000003
natural_alpaca,0.399,0.754,0.462,1.0,0.675,0.737,0.622,0.628,0.41000000000000003,0.748,0.544,0.618,0.382,0.659,0.738,0.555,0.6910000000000001,0.58,0.595,0.636
vengeful_raptor,0.447,0.724,0.551,0.675,1.0,0.667,0.801,0.5,0.49,0.796,0.505,0.6900000000000001,0.515,0.806,0.802,0.446,0.646,0.551,0.769,0.5
adaptable_monkey,0.362,0.604,0.457,0.737,0.667,1.0,0.646,0.559,0.437,0.709,0.51,0.65,0.34500000000000003,0.578,0.669,0.484,0.687,0.462,0.627,0.525
simple_anaconda,0.422,0.653,0.488,0.622,0.801,0.646,1.0,0.509,0.47600000000000003,0.733,0.442,0.665,0.515,0.791,0.739,0.393,0.645,0.522,0.745,0.47200000000000003
prehistoric_crow,0.312,0.596,0.354,0.628,0.5,0.559,0.509,1.0,0.324,0.543,0.397,0.41400000000000003,0.278,0.527,0.585,0.729,0.507,0.514,0.452,0.7020000000000001
charcoal_ladybug,0.524,0.377,0.85,0.41000000000000003,0.49,0.437,0.47600000000000003,0.324,1.0,0.495,0.684,0.5660000000000001,0.356,0.49,0.51,0.297,0.417,0.327,0.621,0.324
abstract_pegasus,0.406,0.687,0.557,0.748,0.796,0.709,0.733,0.543,0.495,1.0,0.5710000000000001,0.6960000000000001,0.441,0.738,0.875,0.508,0.681,0.498,0.777,0.605
impartial_quokka,0.486,0.462,0.6880000000000001,0.544,0.505,0.51,0.442,0.397,0.684,0.5710000000000001,1.0,0.539,0.28200000000000003,0.505,0.603,0.353,0.539,0.339,0.548,0.36
liberal_porcupine,0.5640000000000001,0.485,0.593,0.618,0.6900000000000001,0.65,0.665,0.41400000000000003,0.5660000000000001,0.6960000000000001,0.539,1.0,0.512,0.6900000000000001,0.638,0.418,0.623,0.436,0.836,0.504
evasive_bumblebee,0.72,0.396,0.40700000000000003,0.382,0.515,0.34500000000000003,0.515,0.278,0.356,0.441,0.28200000000000003,0.512,1.0,0.495,0.451,0.254,0.41200000000000003,0.376,0.507,0.315
industrious_manul,0.427,0.652,0.493,0.659,0.806,0.578,0.791,0.527,0.49,0.738,0.505,0.6900000000000001,0.495,1.0,0.744,0.458,0.611,0.51,0.711,0.517
spry_kestrel,0.451,0.678,0.5740000000000001,0.738,0.802,0.669,0.739,0.585,0.51,0.875,0.603,0.638,0.451,0.744,1.0,0.47000000000000003,0.706,0.515,0.719,0.551
massive_skunk,0.272,0.5650000000000001,0.28700000000000003,0.555,0.446,0.484,0.393,0.729,0.297,0.508,0.353,0.418,0.254,0.458,0.47000000000000003,1.0,0.442,0.462,0.41400000000000003,0.809
calculating_shellfish,0.404,0.55,0.451,0.6910000000000001,0.646,0.687,0.645,0.507,0.417,0.681,0.539,0.623,0.41200000000000003,0.611,0.706,0.442,1.0,0.47600000000000003,0.5690000000000001,0.46900000000000003
futuristic_pheasant,0.359,0.735,0.329,0.58,0.551,0.462,0.522,0.514,0.327,0.498,0.339,0.436,0.376,0.51,0.515,0.462,0.47600000000000003,1.0,0.439,0.511
tiny_agouti,0.513,0.557,0.648,0.595,0.769,0.627,0.745,0.452,0.621,0.777,0.548,0.836,0.507,0.711,0.719,0.41400000000000003,0.5690000000000001,0.439,1.0,0.501
acoustic_shrew,0.338,0.594,0.35100000000000003,0.636,0.5,0.525,0.47200000000000003,0.7020000000000001,0.324,0.605,0.36,0.504,0.315,0.517,0.551,0.809,0.46900000000000003,0.511,0.501,1.0
